type,name,template_or_file,size_kb,render_cost,js_cost,css_cost,paint_gpu_cost,network_cost,est_lcp_s,layout_shift_risk,score,notes
asset,base.css,assets/base.css,86,n/a,n/a,Critical,Med,High,n/a,n/a,D,"render-blocking every page"
asset,global.js,assets/global.js,44,n/a,Med,n/a,n/a,Med,n/a,n/a,C,"Dawn baseline every page"
asset,theme-interactions.js,assets/theme-interactions.js,21,n/a,Med,n/a,n/a,Med,n/a,n/a,C,"loaded every page; scroll-zoom leak"
asset,vinayakrao27_.webp,assets/vinayakrao27_.webp,548,n/a,n/a,n/a,Low,High,n/a,n/a,D,"oversized image"
asset,build-your-attar-box.css,assets/build-your-attar-box.css,45,n/a,n/a,High,High,Med,n/a,n/a,C,"14 backdrop-filters"
asset,chakra-attar-set,assets/chakra-*-attar.webp,1800,n/a,n/a,n/a,Low,High,n/a,n/a,D,"7 images ~250KB each"
asset,theme-product-gallery.css,assets/theme-product-gallery.css,15,n/a,n/a,Med,Low,Low,n/a,n/a,D,"89 !important"
asset,sparkle.gif,assets/sparkle.gif,179,n/a,n/a,n/a,Med,Med,n/a,n/a,D,"animated GIF"
asset,incense.jpeg,assets/incense.jpeg,290,n/a,n/a,n/a,Low,High,n/a,n/a,D,"JPEG not webp/avif"
asset,influencer-dashboard.js+css,assets/influencer-dashboard.*,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,F,"dead code on disk"
asset,vanta.clouds2.min.js,assets/vanta.clouds2.min.js,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,F,"dead code on disk"
